date,payload,created_at
2025-01-27,"{""date"": ""2025-01-27"", ""layer1"": {""dxy"": 128.2856, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 209.16, ""liquidity_billions"": 6061.61}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.838479
2025-01-28,"{""date"": ""2025-01-28"", ""layer1"": {""dxy"": 128.471, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 189.26, ""liquidity_billions"": 6041.72}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.839683
2025-01-29,"{""date"": ""2025-01-29"", ""layer1"": {""dxy"": 128.5324, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 51.69, ""liquidity_billions"": 5912.14}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.840853
2025-01-30,"{""date"": ""2025-01-30"", ""layer1"": {""dxy"": 128.2958, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 260.28, ""liquidity_billions"": 5908.02}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.841999
2025-01-31,"{""date"": ""2025-01-31"", ""layer1"": {""dxy"": 128.6686, ""dxy_trend_30d"": ""flat"", ""liquidity_change_30d_b"": NaN, ""liquidity_billions"": 5846.07}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.843089
2025-02-03,"{""date"": ""2025-02-03"", ""layer1"": {""dxy"": 129.2815, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 40.96, ""liquidity_billions"": 5936.2}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.844801
2025-02-04,"{""date"": ""2025-02-04"", ""layer1"": {""dxy"": 128.2993, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 53.09, ""liquidity_billions"": 5948.33}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.845922
2025-02-05,"{""date"": ""2025-02-05"", ""layer1"": {""dxy"": 128.1725, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 25.86, ""liquidity_billions"": 5926.55}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.847007
2025-02-06,"{""date"": ""2025-02-06"", ""layer1"": {""dxy"": 128.3958, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": 1.04, ""liquidity_billions"": 5925.36}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.848119
2025-02-07,"{""date"": ""2025-02-07"", ""layer1"": {""dxy"": 128.6144, ""dxy_trend_30d"": ""Downtrend"", ""liquidity_change_30d_b"": -105.68, ""liquidity_billions"": 5910.09}, ""layer2"": {""note"": ""historical ETF/stablecoin data currently unavailable""}, ""layer3"": {""note"": ""CPU+CG data not stored historically by this script""}, ""layer4"": {""price_btc"": null, ""price_change_24h_pct"": null, ""price_change_7d_pct"": null, ""price_vs_50d_ma_pct"": null}}",2025-12-07T13:19:57.849188
